А,48419
Б,47091
В,45276
Г,44716
Д,43629
Е,42804
Ж,42694
З,42262
И,41163
Й,40791
К,40787
Л,38313
М,37562
Н,36174
О,35668
П,34816
Р,32584
С,31972
Т,30055
У,28991
Ф,28703
Х,28499
Ц,28200
Ч,27955
Ш,27220
Щ,26928
Э,26766
Ю,26528
Я,26380
